Name,Email,Location,Job Title,Job Type,Education,Employment Type,Practice Size,Area Type,Sponsorship,English Proficiency,Compensation
Adrienne Hill,plane@example.org,"New York, NY",Pedodontist,DSO,DDS with Specialization,Contract,Small,Rural,No,3,138136.73
Emily Wilson,jblackburn@example.com,"Los Angeles, CA",Periodontist,DSO,DDS,Contract,Large,Rural,No,1,95377.54
Kerry Perez,parkjustin@example.net,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,Temporary,Large,Urban,No,1,135899.02
Michael Flores,maddoxrachel@example.net,"Chicago, IL",Orthodontist,Private Practice,DDS,Part-time,Small,Urban,Yes,2,109012.74
Yolanda Mcclain,lisa30@example.com,"New York, NY",Pedodontist,DSO,DMD,Contract,Large,Urban,No,5,93236.27
Taylor Shea,anguyen@example.com,"New York, NY",General Dentist,Private Practice,DMD,Contract,Large,Rural,No,2,114319.6
Dominique Woodard,newtonlauren@example.com,"Chicago, IL",Periodontist,Private Practice,DDS,Contract,Large,Urban,No,5,87043.05
Ryan Sampson,gina20@example.org,"New York, NY",Pedodontist,DSO,DMD,Temporary,Large,Rural,Yes,3,142134.53
Jeffery Fernandez,christophercastillo@example.com,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,Full-time,Large,Rural,No,1,102130.77
Dr. Lorraine Young,abeasley@example.net,"Chicago, IL",Periodontist,DSO,DMD with Specialization,Temporary,Small,Urban,Yes,1,130868.46
Catherine Gross,joshua15@example.net,"New York, NY",Endodontist,DSO,DDS,Temporary,Small,Urban,No,4,146880.52
Luis Miller,awatts@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,Temporary,Small,Rural,No,3,145074.14
Carla Chase,joshuawalters@example.com,"Houston, TX",General Dentist,Private Practice,DMD,Full-time,Medium,Urban,Yes,5,124556.27
Terry Wright,jrhodes@example.net,"New York, NY",Endodontist,DSO,DDS,Temporary,Small,Rural,Yes,1,134489.97
Kendra Sanders,kchandler@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,Contract,Large,Urban,No,2,109800.91
Joseph Washington,qhughes@example.net,"Phoenix, AZ",Orthodontist,DSO,DDS,Part-time,Large,Urban,Yes,3,136712.12
Sherri Spence,sullivanfrank@example.org,"Los Angeles, CA",Periodontist,Private Practice,DDS,Contract,Large,Rural,No,1,85821.8
Dustin Dean,steven45@example.com,"Chicago, IL",General Dentist,Private Practice,DDS,Temporary,Large,Rural,Yes,1,147309.25
Jerry Moyer,piercealexandra@example.org,"Phoenix, AZ",Periodontist,Private Practice,DMD,Temporary,Small,Urban,No,4,113350.37
Debra Foster,davidnicole@example.net,"Houston, TX",Periodontist,Private Practice,DMD with Specialization,Temporary,Medium,Urban,No,4,103390.8
Lisa Griffin,thompsondillon@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS,Temporary,Medium,Urban,Yes,2,103630.73
Craig Gonzalez,bhughes@example.net,"Houston, TX",Pedodontist,DSO,DDS,Full-time,Small,Rural,No,4,127187.41
Vanessa Watts,jamesolson@example.net,"Houston, TX",Orthodontist,Private Practice,DDS,Part-time,Medium,Rural,No,5,86134.94
Ashley Jackson,erikabuchanan@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DMD,Temporary,Small,Rural,Yes,4,93916.03
Dawn Williams,simmonsrodney@example.org,"Chicago, IL",General Dentist,Private Practice,DDS,Contract,Small,Urban,Yes,2,120195.58
Jose Richmond,juan38@example.com,"Houston, TX",Endodontist,DSO,DDS,Part-time,Large,Rural,No,1,114624.43
Jessica Carney,obrown@example.com,"Phoenix, AZ",General Dentist,Private Practice,DMD,Full-time,Small,Rural,Yes,2,143399.91
Mr. William West,rebeccagonzalez@example.com,"New York, NY",General Dentist,DSO,DDS,Full-time,Medium,Urban,No,5,144245.97
Sarah Villegas,danielmoore@example.com,"Houston, TX",Pedodontist,Private Practice,DMD with Specialization,Temporary,Small,Urban,No,1,130001.59
Rebecca Sanchez,mendezann@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS with Specialization,Temporary,Medium,Rural,Yes,1,142729.76
Kimberly Brown,romerodonald@example.org,"New York, NY",Periodontist,Private Practice,DDS with Specialization,Full-time,Large,Urban,No,4,86258.45
Elizabeth Rogers,castrodeanna@example.org,"Phoenix, AZ",General Dentist,Private Practice,DDS with Specialization,Full-time,Large,Urban,Yes,2,132894.33
Charles Morgan,tchan@example.net,"New York, NY",Periodontist,Private Practice,DMD,Full-time,Small,Urban,No,1,122207.1
Anna Richardson,amandamills@example.org,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,Part-time,Small,Urban,No,5,96366.55
Amanda Gonzalez,jay56@example.com,"Chicago, IL",Endodontist,DSO,DDS,Full-time,Large,Urban,Yes,5,113353.71
Gregory Roberts,denisehansen@example.net,"Houston, TX",Pedodontist,Private Practice,DMD with Specialization,Temporary,Medium,Rural,No,4,128703.68
Thomas Norman,rebecca25@example.com,"New York, NY",Orthodontist,DSO,DDS,Part-time,Small,Rural,No,3,116803.07
Lisa Lawson,garrettjeffrey@example.com,"New York, NY",Periodontist,DSO,DMD,Full-time,Large,Rural,No,4,96904.89
James Gray,mccoymonique@example.org,"New York, NY",Periodontist,DSO,DDS,Contract,Medium,Urban,No,4,103583.93
Joshua Lewis,bfisher@example.org,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,Contract,Medium,Urban,Yes,3,115517.27
Melissa Kennedy,mwilliams@example.org,"Houston, TX",General Dentist,DSO,DDS with Specialization,Contract,Large,Urban,No,3,87844.92
Shane Hunter,igill@example.org,"New York, NY",Pedodontist,DSO,DDS,Part-time,Large,Urban,Yes,2,117062.96
Warren Boyd,johnsoncaitlin@example.org,"New York, NY",Pedodontist,DSO,DDS with Specialization,Temporary,Medium,Rural,Yes,4,127856.47
Jacob Garcia,adrian46@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DDS with Specialization,Part-time,Large,Rural,Yes,5,132524.36
Nicole Hayes PhD,pward@example.net,"Chicago, IL",Periodontist,DSO,DDS,Contract,Large,Urban,No,1,95994.57
Troy Lee,wcrane@example.org,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,Full-time,Large,Rural,Yes,3,108586.4
Kelly Wright,christopher87@example.net,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,Full-time,Small,Urban,Yes,1,126347.24
Krystal Fernandez,dchan@example.com,"Houston, TX",Pedodontist,DSO,DDS,Temporary,Medium,Urban,Yes,2,112423.7
Marc Hardin,ubowen@example.com,"New York, NY",Pedodontist,DSO,DDS,Temporary,Large,Rural,No,2,99909.04
Deborah Mcneil,coffeyrobert@example.com,"Los Angeles, CA",Endodontist,Private Practice,DMD,Full-time,Small,Urban,Yes,5,109865.48
Robert Schmidt,brian62@example.org,"Chicago, IL",General Dentist,Private Practice,DDS,Temporary,Medium,Urban,No,3,120903.73
Alan Sanchez,lisa89@example.net,"New York, NY",Endodontist,Private Practice,DMD with Specialization,Temporary,Small,Rural,Yes,4,138328.07
Adam Weiss,stacy46@example.com,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,Contract,Small,Rural,Yes,2,105009.97
Joshua Rogers MD,vrobinson@example.org,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,Full-time,Large,Rural,No,2,93555.6
Kristin Valdez,timothy96@example.com,"Phoenix, AZ",Orthodontist,DSO,DMD with Specialization,Full-time,Large,Rural,No,2,118239.9
Vanessa Sanders,sramirez@example.net,"Houston, TX",Periodontist,Private Practice,DMD with Specialization,Contract,Large,Urban,Yes,2,90361.08
Jane Brooks,josephjessica@example.org,"Houston, TX",Endodontist,DSO,DDS,Full-time,Small,Urban,No,1,114402.71
Joanna Hale,kimberly40@example.com,"Houston, TX",General Dentist,Private Practice,DMD,Contract,Medium,Rural,Yes,1,143483.16
Chase Wilson,jmejia@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DMD with Specialization,Part-time,Small,Rural,Yes,4,128076.73
Michael Cortez,lisajones@example.net,"New York, NY",Pedodontist,DSO,DMD,Temporary,Medium,Rural,Yes,2,123509.38
Timothy Martin,lisa27@example.com,"Los Angeles, CA",General Dentist,DSO,DMD with Specialization,Contract,Small,Urban,Yes,1,130137.8
Nicole Jones,nicholas90@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,Full-time,Small,Urban,Yes,4,91521.43
Angel Navarro DVM,lauren58@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,Part-time,Large,Urban,Yes,4,82932.43
Brandon Cannon,wjones@example.org,"Chicago, IL",Endodontist,DSO,DMD,Contract,Medium,Urban,Yes,2,109653.68
Sarah Lynn,qjones@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS with Specialization,Part-time,Medium,Rural,No,1,140728.6
Billy Norman,kathryn74@example.org,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,Contract,Small,Rural,No,2,88244.33
Jennifer Padilla,jeremyperez@example.com,"Los Angeles, CA",General Dentist,DSO,DDS,Contract,Small,Rural,No,4,142198.46
Kevin Huff,patricia80@example.net,"Los Angeles, CA",Orthodontist,Private Practice,DMD,Part-time,Large,Urban,Yes,2,148925.82
Jeffrey Bryant,turnernatalie@example.com,"New York, NY",Pedodontist,DSO,DMD with Specialization,Contract,Medium,Urban,Yes,1,126461.45
Kelsey Kelley,fpope@example.org,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,Full-time,Large,Urban,No,1,110636.42
Tom Olson,zacharyharrington@example.com,"New York, NY",Periodontist,DSO,DMD with Specialization,Contract,Large,Urban,Yes,3,141671.9
Donald Warren Jr.,moralesapril@example.com,"Houston, TX",General Dentist,Private Practice,DMD,Full-time,Large,Rural,Yes,3,137265.31
Adam Hawkins,john52@example.net,"New York, NY",Endodontist,DSO,DMD,Contract,Large,Urban,Yes,5,120770.27
Michael Mcknight,shester@example.org,"Los Angeles, CA",Endodontist,DSO,DMD,Part-time,Large,Urban,No,5,113841.85
Joshua Guerra,rogermosley@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,Temporary,Large,Rural,No,1,87462.27
Mason Richardson,paulholloway@example.net,"Phoenix, AZ",Periodontist,Private Practice,DMD,Contract,Large,Rural,No,2,129598.5
Mr. Kenneth Lewis,albertramirez@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS,Contract,Small,Urban,No,3,123350.99
Susan Lawrence,yvette55@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DDS,Temporary,Large,Urban,No,4,105640.21
Dr. Ronald Tanner II,stephanie30@example.org,"Los Angeles, CA",General Dentist,DSO,DDS,Full-time,Small,Urban,No,5,94308.79
Jennifer Berry,brandonmiller@example.com,"New York, NY",Pedodontist,DSO,DDS,Temporary,Medium,Rural,Yes,2,108944.29
Brittney Camacho,davidmyers@example.net,"Chicago, IL",General Dentist,Private Practice,DDS,Full-time,Small,Urban,Yes,2,89418.68
Victoria Calhoun,vlewis@example.org,"Houston, TX",Orthodontist,Private Practice,DMD with Specialization,Part-time,Medium,Rural,Yes,4,138339.01
Sarah Walker,derrickgarcia@example.org,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,Contract,Small,Rural,No,4,118721.26
Whitney Ramirez,jarvisjennifer@example.net,"Los Angeles, CA",Endodontist,DSO,DMD,Part-time,Small,Rural,Yes,4,109328.47
Nicole Rush,barbara14@example.org,"Los Angeles, CA",General Dentist,DSO,DMD with Specialization,Temporary,Large,Urban,No,5,122377.59
Briana Merritt,tmorrow@example.org,"Houston, TX",General Dentist,DSO,DMD with Specialization,Contract,Large,Rural,No,2,112292.31
Jacob Johnson,thompsonkathy@example.net,"New York, NY",Endodontist,DSO,DMD with Specialization,Full-time,Medium,Urban,Yes,1,106913.53
Cody Alvarez,clewis@example.com,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,Contract,Medium,Rural,No,3,140957.56
Karl Howard,zlawson@example.com,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,Full-time,Medium,Rural,No,5,110581.63
Lindsey Fitzgerald,danielle07@example.net,"Chicago, IL",General Dentist,Private Practice,DDS with Specialization,Part-time,Small,Urban,No,5,129043.45
Kelly Chen,kellyanderson@example.net,"Phoenix, AZ",Orthodontist,DSO,DDS,Contract,Small,Rural,No,4,92939.29
Nicholas Mcclain,qharding@example.org,"Chicago, IL",Orthodontist,Private Practice,DDS,Temporary,Large,Urban,Yes,2,91249.28
Sarah Thomas,alanjackson@example.com,"New York, NY",Endodontist,Private Practice,DMD,Part-time,Large,Rural,No,2,95182.26
Craig Williams,iwilson@example.net,"Los Angeles, CA",Pedodontist,DSO,DDS,Part-time,Large,Urban,Yes,1,85406.89
Rachel Frank,thomas60@example.org,"New York, NY",Periodontist,Private Practice,DMD with Specialization,Part-time,Large,Urban,No,5,92678.71
Jesus Spencer,hglover@example.com,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,Contract,Small,Urban,Yes,3,148915.62
Cynthia Campbell,ihunt@example.org,"Houston, TX",Pedodontist,DSO,DDS,Full-time,Small,Urban,No,3,138856.87
Linda Burton,lamnatalie@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DDS,Part-time,Small,Urban,Yes,4,81064.41
James Lee,michael06@example.net,"New York, NY",Orthodontist,Private Practice,DDS,Temporary,Medium,Urban,Yes,3,101746.98
Jamie Fields,iprice@example.com,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,Contract,Medium,Rural,No,2,95395.22
Daniel Herring,swarren@example.com,"Chicago, IL",Periodontist,DSO,DMD with Specialization,Part-time,Large,Urban,Yes,1,124434.78
Taylor Jensen,sstrickland@example.net,"Chicago, IL",Periodontist,DSO,DDS with Specialization,Contract,Medium,Urban,No,4,105759.7
Anna Jones,mejiarichard@example.com,"New York, NY",Orthodontist,Private Practice,DDS with Specialization,Full-time,Large,Rural,No,3,111785.43
Mary Sandoval,hayesjerry@example.net,"Chicago, IL",General Dentist,Private Practice,DDS,Temporary,Small,Urban,No,2,109246.85
Elizabeth Aguilar,rhenderson@example.com,"Phoenix, AZ",General Dentist,DSO,DDS,Temporary,Medium,Rural,Yes,4,82837.16
Natalie Hoffman,tlewis@example.net,"Los Angeles, CA",Periodontist,Private Practice,DMD,Full-time,Small,Urban,No,1,148782.47
Mr. Kenneth Gonzalez,loriorozco@example.net,"New York, NY",Periodontist,DSO,DDS,Contract,Small,Urban,No,1,130967.71
Julian Anderson,adrian54@example.org,"New York, NY",General Dentist,DSO,DMD with Specialization,Contract,Large,Rural,No,1,135313.92
Benjamin Boyd,bgonzalez@example.net,"Chicago, IL",General Dentist,DSO,DMD,Part-time,Medium,Rural,Yes,5,140420.84
Yvonne Torres,mcarter@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS,Contract,Small,Rural,No,2,131833.86
Manuel Price,toddhernandez@example.org,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,Temporary,Large,Urban,No,4,95473.28
Brittany Mcpherson,william88@example.com,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,Part-time,Medium,Rural,Yes,4,139676.0
Christopher Bennett,adrian33@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,Part-time,Large,Rural,Yes,3,94637.17
Lauren Richard,erica92@example.org,"Phoenix, AZ",Pedodontist,DSO,DDS with Specialization,Temporary,Small,Urban,No,5,100031.24
Richard Hernandez,amyholmes@example.com,"New York, NY",Endodontist,DSO,DMD with Specialization,Contract,Medium,Urban,Yes,5,128158.79
Jessica Baker,yjuarez@example.net,"New York, NY",Pedodontist,Private Practice,DMD,Full-time,Large,Urban,Yes,1,83140.97
Robert Whitehead,williegomez@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS,Full-time,Medium,Rural,Yes,1,129546.17
Andrew Benjamin,gregoryharvey@example.com,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,Part-time,Small,Rural,No,5,140318.6
Dr. Craig Greene,wendykeller@example.com,"Houston, TX",Orthodontist,DSO,DMD with Specialization,Full-time,Small,Rural,No,3,108973.97
Charles Foley,david36@example.com,"Houston, TX",Pedodontist,Private Practice,DMD with Specialization,Full-time,Medium,Rural,No,3,105195.39
Chloe Shaw,umckinney@example.org,"Chicago, IL",Endodontist,DSO,DMD,Part-time,Large,Rural,No,1,106210.44
Dr. Jeremiah Hill Jr.,fieldskevin@example.org,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,Temporary,Small,Urban,No,4,117955.99
Jasmin Adkins,zatkins@example.org,"Houston, TX",Periodontist,Private Practice,DMD with Specialization,Temporary,Small,Urban,Yes,1,142683.88
Lauren Ferguson,randy88@example.net,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,Part-time,Medium,Urban,No,3,121751.35
Danielle Dunn,chendiana@example.org,"New York, NY",General Dentist,Private Practice,DMD,Part-time,Large,Rural,Yes,1,124994.81
Keith Ross,rosalesalexander@example.net,"Phoenix, AZ",General Dentist,DSO,DMD with Specialization,Part-time,Medium,Urban,Yes,1,104232.66
Mary Diaz,imueller@example.org,"Los Angeles, CA",Periodontist,DSO,DDS,Temporary,Small,Rural,No,2,108219.11
Terry Davis,weaverstephanie@example.org,"Los Angeles, CA",Periodontist,DSO,DMD,Contract,Small,Urban,Yes,2,105430.58
Rachel Wolfe,wilsonanthony@example.com,"Phoenix, AZ",Endodontist,DSO,DDS,Part-time,Medium,Rural,No,2,114163.27
William Robinson,rodrigueztravis@example.net,"Houston, TX",Endodontist,Private Practice,DMD with Specialization,Temporary,Medium,Urban,Yes,2,142787.93
Jacob Reid,vmoore@example.org,"Los Angeles, CA",Periodontist,DSO,DMD,Temporary,Large,Urban,Yes,1,85298.44
Brian Ali,serranosamantha@example.net,"Chicago, IL",Orthodontist,Private Practice,DMD,Temporary,Small,Urban,No,5,122982.35
Kristina Gonzalez,jimmyfoster@example.org,"Chicago, IL",Orthodontist,Private Practice,DDS,Temporary,Small,Urban,No,4,134799.04
Nathan Butler,yhooper@example.org,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,Temporary,Small,Rural,No,5,86395.69
Nicholas Wright,nathan27@example.com,"Houston, TX",Pedodontist,DSO,DDS,Full-time,Medium,Rural,Yes,3,89291.17
Jesse Craig,xholland@example.net,"Phoenix, AZ",Periodontist,Private Practice,DDS with Specialization,Full-time,Medium,Rural,No,1,149004.38
Connie Howell,dbarnes@example.com,"Houston, TX",Endodontist,DSO,DDS with Specialization,Part-time,Small,Rural,Yes,2,133155.6
Robert Jones,pcole@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS,Part-time,Small,Urban,No,4,98818.79
Christopher Adams,samanthadavis@example.com,"Chicago, IL",General Dentist,DSO,DMD,Part-time,Small,Urban,Yes,1,99232.49
Michael Allen,alyssasmith@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS,Temporary,Small,Rural,No,4,88516.78
Erin Morgan,kelly87@example.org,"Los Angeles, CA",Endodontist,DSO,DMD,Full-time,Large,Rural,Yes,5,110125.13
Kara Norris,joshua85@example.com,"Los Angeles, CA",Pedodontist,DSO,DMD,Part-time,Large,Rural,No,2,138975.91
Eric Hampton,riley93@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DMD,Contract,Medium,Urban,No,1,109515.02
Ryan Lee,donaldmack@example.net,"New York, NY",Orthodontist,DSO,DDS,Full-time,Medium,Rural,No,4,109520.14
Nicholas Williamson,hooverdylan@example.org,"Chicago, IL",General Dentist,DSO,DMD with Specialization,Full-time,Large,Rural,No,2,111383.31
Jasmine Ford,kimrachel@example.net,"Houston, TX",Periodontist,Private Practice,DDS,Temporary,Large,Rural,No,5,118027.25
David Sanchez,danielmartin@example.com,"Chicago, IL",General Dentist,DSO,DMD with Specialization,Full-time,Large,Urban,No,3,118002.69
Toni Perez MD,beasleyjoseph@example.com,"Houston, TX",Endodontist,DSO,DDS,Part-time,Small,Rural,No,1,135566.95
