Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Jacob Abbott,chamberskelly@example.org,"Houston, TX",Orthodontist,Private Practice,DDS,6,Temporary,Small,Rural,True,Native,129621.0,476.55,Draw - Term More than 1 year,25.0,The production details,30.0,,15000.0,
James Flowers,mark48@example.com,"Chicago, IL",General Dentist,DSO,DMD,9,Full-time,Large,Rural,False,Fluent,87662.22,322.29,Draw - Term More than 1 year,40.0,The production details,25.0,The collection details,10000.0,
Mary Hernandez MD,juan33@example.com,"New York, NY",Endodontist,Private Practice,DDS,28,Temporary,Medium,Rural,True,Native,136638.16,502.35,Draw - Term Less than 1 year,40.0,,,,5000.0,
John Elliott,espinozalinda@example.com,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,12,Full-time,Medium,Urban,True,Proficient,110333.49,405.64,Guaranteed,,,50.0,The collection details,5000.0,6000.0
Amber Chandler,bsmith@example.com,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,29,Full-time,Medium,Urban,False,Fluent,147181.53,541.11,Draw,,,20.0,,10000.0,6000.0
Brandon Riley,stevenwilliams@example.org,"Houston, TX",General Dentist,DSO,DMD with Specialization,16,Contract,Small,Urban,True,Proficient,103605.25,380.9,Draw - Term More than 1 year,50.0,,20.0,,10000.0,4000.0
Billy Wilson,william40@example.org,"Los Angeles, CA",Endodontist,Private Practice,DDS,13,Part-time,Small,Rural,True,Proficient,133887.85,492.23,Guaranteed,,The production details,25.0,The collection details,5000.0,
Travis Mathews,adrienne42@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,7,Temporary,Small,Urban,False,Fluent,131930.86,485.04,Draw - Term More than 1 year,25.0,The production details,,,10000.0,2000.0
Joseph Levy,marycardenas@example.com,"Houston, TX",General Dentist,DSO,DMD,23,Contract,Medium,Rural,True,Basic,96445.26,354.58,Draw - Term More than 1 year,20.0,The production details,,,15000.0,
Richard Burton,watsonlawrence@example.org,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,3,Part-time,Large,Urban,True,Native,100194.81,368.36,Draw,,,40.0,The collection details,10000.0,
Cindy Bush,fullerandrew@example.com,"Los Angeles, CA",Endodontist,DSO,DDS,9,Temporary,Small,Urban,True,Proficient,134428.23,494.22,Draw,,,30.0,,10000.0,
Christopher Andrews,brucejanice@example.net,"New York, NY",Orthodontist,Private Practice,DDS with Specialization,18,Temporary,Small,Urban,True,Fluent,143568.67,527.83,Draw - Term Less than 1 year,20.0,,,The collection details,15000.0,2000.0
Margaret Hudson,christianmann@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,3,Part-time,Medium,Urban,False,Fluent,104058.23,382.57,Draw - Term Less than 1 year,50.0,,,The collection details,15000.0,4000.0
Amanda Walker,anthony27@example.net,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,8,Contract,Medium,Urban,True,Fluent,149334.61,549.02,Draw - Term Less than 1 year,,,,,5000.0,6000.0
Darius Baker,johnsonchristina@example.org,"Chicago, IL",Pedodontist,Private Practice,DDS,21,Full-time,Medium,Urban,False,Proficient,140531.13,516.66,Draw - Term Less than 1 year,50.0,,25.0,The collection details,10000.0,
Jason Johnson,kingjocelyn@example.net,"Chicago, IL",Orthodontist,Private Practice,DMD,10,Full-time,Medium,Rural,False,Proficient,97997.34,360.28,Draw,15.0,,20.0,,15000.0,2000.0
Jeffrey Hall,sotorandy@example.org,"Houston, TX",General Dentist,DSO,DMD with Specialization,17,Temporary,Medium,Rural,False,Fluent,85714.6,315.13,Draw - Term Less than 1 year,40.0,,40.0,,,4000.0
Andrew Lawson,adrienne01@example.net,"New York, NY",General Dentist,DSO,DMD,3,Temporary,Medium,Rural,True,Basic,119332.47,438.72,Draw - Term Less than 1 year,,,10.0,,15000.0,4000.0
Angela Vargas,nlucas@example.com,"Chicago, IL",Orthodontist,DSO,DMD,0,Part-time,Large,Rural,True,Proficient,113190.51,416.14,Draw - Term More than 1 year,15.0,The production details,,The collection details,5000.0,6000.0
Rachel Huynh,sheath@example.org,"Los Angeles, CA",Periodontist,DSO,DMD,27,Temporary,Medium,Urban,False,Fluent,112674.15,414.24,Draw - Term More than 1 year,10.0,,40.0,,,2000.0
Shaun Dominguez,heathlauren@example.org,"Los Angeles, CA",Pedodontist,DSO,DMD with Specialization,4,Contract,Medium,Urban,True,Native,144468.19,531.13,Draw - Term Less than 1 year,25.0,,,The collection details,,
Brittany Medina,scottmiller@example.com,"Chicago, IL",Endodontist,Private Practice,DDS,21,Full-time,Large,Urban,False,Native,109138.87,401.25,Draw,50.0,,25.0,,,4000.0
David Davis,jeffreyyoder@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,4,Contract,Medium,Urban,False,Native,139029.35,511.14,Draw,50.0,,,,10000.0,
